               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034555,            0.014811,            0.012717,             0.84908,             0.90846,             0.93241,             0.57452,            0.016708,           0.0041658,           0.0031952,           0.0093268,           0.0093268,           0.0093268
                  36,            0.033614,            0.013978,            0.011865,             0.83472,              0.9429,             0.92495,             0.51817,            0.018426,           0.0037393,           0.0051258,            0.009307,            0.009307,            0.009307
                  37,            0.034854,            0.013142,            0.011916,             0.86883,             0.94352,             0.92147,             0.59372,            0.018107,           0.0037738,           0.0064668,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030662,            0.013999,            0.013811,              0.8368,             0.83375,             0.91605,             0.58305,            0.016996,           0.0038918,            0.017069,           0.0092674,           0.0092674,           0.0092674
                  39,            0.030049,            0.013586,            0.011972,             0.95367,             0.79204,             0.91181,              0.5708,            0.018307,           0.0040127,            0.004604,           0.0092476,           0.0092476,           0.0092476
                  40,            0.032517,            0.014711,            0.011894,             0.96215,             0.95731,             0.98654,             0.59066,            0.018396,           0.0043455,           0.0018852,           0.0092278,           0.0092278,           0.0092278
                  41,            0.034877,            0.014594,            0.011305,             0.90616,             0.92731,             0.92574,             0.55999,            0.023568,           0.0040107,           0.0019648,            0.009208,            0.009208,            0.009208
                  42,            0.034596,            0.013371,            0.014786,             0.86464,             0.89485,             0.90042,             0.50332,            0.018385,           0.0044946,           0.0049322,           0.0091882,           0.0091882,           0.0091882
                  43,            0.035488,            0.013372,            0.013847,             0.84371,             0.91303,              0.9149,             0.51532,            0.020416,           0.0044086,           0.0032035,           0.0091684,           0.0091684,           0.0091684
                  44,            0.033963,            0.014556,            0.011692,             0.91815,             0.91817,             0.94391,             0.48915,            0.019813,           0.0045844,           0.0027503,           0.0091486,           0.0091486,           0.0091486
                  45,            0.030511,             0.01367,            0.013049,             0.87804,             0.89932,             0.94272,             0.53711,            0.017129,           0.0039513,           0.0030894,           0.0091288,           0.0091288,           0.0091288
                  46,            0.031959,            0.013279,            0.011934,             0.91596,             0.93809,             0.93744,             0.58923,            0.018436,            0.003657,           0.0027737,            0.009109,            0.009109,            0.009109
                  47,            0.029179,             0.01319,           0.0090042,             0.92516,             0.91389,             0.94741,             0.58961,             0.01637,           0.0036176,           0.0029854,           0.0090892,           0.0090892,           0.0090892
